1	A
2	A
3	E
4	E
5	A
6	E
7	A
8	A
9	E
10	A
11	E
12	E
13	E
14	A
15	A
16	A
17	A
18	E
19	E
20	A
21	E
22	E
23	A
24	A
25	A
26	E
27	E
28	A
29	E
30	A
31	E
32	A
33	E
34	A
35	E
36	A
37	A
38	E
39	A
40	A
41	A
42	A
43	E
44	E
45	A
46	A
47	A
48	A
49	E
50	A

1	B
2	A
3	A
4	E
5	E
6	E
7	E
8	E
9	A
10	E
11	E
12	E
13	A
14	E
15	E
16	E
17	A
18	A
19	A
20	E
21	A
22	A
23	E
24	E
25	E
26	E
27	A
28	A
29	E
30	E
31	A
32	A
33	A
34	E
35	E
36	E
37	E
38	E
39	A
40	A
41	E
42	E
43	A
44	A
45	A
46	E
47	A
48	E
49	E
50	E

1	C
2	E
3	A
4	E
5	E
6	A
7	A
8	A
9	A
10	A
11	A
12	E
13	A
14	A
15	E
16	E
17	A
18	E
19	E
20	A
21	A
22	A
23	A
24	A
25	E
26	E
27	E
28	A
29	A
30	E
31	E
32	A
33	E

