2018-07-01T04:14:50.848Z - info: Pages built
2018-07-01T04:14:50.891Z - info: Site data built
2018-07-01T04:14:50.904Z - info: Generate Site durationMs=43148
2018-07-01T04:14:50.933Z - info: Serving "C:\repos\nus-cs2103\website-base\_site" at http://127.0.0.1:8080
2018-07-01T04:14:50.933Z - info: Press CTRL+C to stop ...
2018-07-01T05:19:43.307Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\admin\project-v15.md
2018-07-01T05:19:44.325Z - verbose: Rebuild affected paths: C:\repos\nus-cs2103\website-base\admin\project-v15.md
2018-07-01T05:19:44.349Z - info: Rebuilding 7 pages
2018-07-01T05:19:46.127Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\index.md
2018-07-01T05:19:46.127Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\admin\gradeBreakdown.md
2018-07-01T05:19:46.131Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\schedule\week12\index.md
2018-07-01T05:19:47.291Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\schedule\week13\index.md
2018-07-01T05:19:47.291Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\schedule\week3\index.md
2018-07-01T05:19:47.291Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\common\header.md
2018-07-01T05:19:47.291Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\schedule\overview\tutorialSchedule.md
2018-07-01T05:19:47.291Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\schedule\week1\todo.md
2018-07-01T05:19:47.291Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\admin\appendixE-gitHub.md
2018-07-01T05:19:47.291Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\softwareEngineering\introduction\prosAndCons\text.md
2018-07-01T05:19:47.291Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\_markbind\boilerplates\unit-inElsewhere-asFlat.md
2018-07-01T05:19:47.291Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\softwareEngineering\introduction\path.md
2018-07-01T05:19:47.291Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\common\definitions.md
2018-07-01T05:19:47.291Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\schedule\evidence\softwareEngineering.md
2018-07-01T05:19:47.291Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\ides\introduction\what\text.md
2018-07-01T05:19:47.291Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\ides\introduction\path.md
2018-07-01T05:19:47.295Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\intellij\projectSetup\text.md
2018-07-01T05:19:47.295Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\intellij\path.md
2018-07-01T05:19:47.295Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\intellij\codeNavigation\text.md
2018-07-01T05:19:47.295Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\javaTools\collections\text.md
2018-07-01T05:19:47.295Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\javaTools\path.md
2018-07-01T05:19:47.295Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\javaTools\varargs\text.md
2018-07-01T05:19:47.295Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\testing\introduction\what\text.md
2018-07-01T05:19:47.295Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\testing\introduction\path.md
2018-07-01T05:19:47.295Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\testing\testingTypes\regressionTesting\what\text.md
2018-07-01T05:19:47.295Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\testing\testingTypes\regressionTesting\path.md
2018-07-01T05:19:47.295Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\testing\testAutomation\what\text.md
2018-07-01T05:19:47.295Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\testing\testAutomation\path.md
