2018-06-21T03:17:02.466Z - info: Pages built
2018-06-21T03:17:02.713Z - info: Site data built
2018-06-21T03:17:02.759Z - info: Generate Site durationMs=103201
2018-06-21T03:17:03.267Z - info: Serving "C:\repos\nus-cs2103\website-base\_site" at http://127.0.0.1:8080
2018-06-21T03:17:03.267Z - info: Press CTRL+C to stop ...
2018-06-21T04:21:45.446Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\pull.sh
2018-06-21T04:21:45.448Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\serve.sh
2018-06-21T04:21:45.448Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\site.json
2018-06-21T04:21:45.500Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\admin\appendixB-policies.md
2018-06-21T04:21:45.501Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\common\header.md
2018-06-21T04:21:45.522Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\css\schedule.css
2018-06-21T04:21:45.522Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\admin\appendixA-principles.md
2018-06-21T04:21:45.522Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\admin\appendixC-faq.md
2018-06-21T04:21:45.522Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\admin\appendixD-help.md
2018-06-21T04:21:45.522Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\admin\appendixF-teamworkIssues.md
2018-06-21T04:21:45.522Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\admin\appendixE-gitHub.md
2018-06-21T04:21:45.523Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\admin\collate.md
2018-06-21T04:21:45.523Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\admin\exams.md
2018-06-21T04:21:45.523Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\admin\gradeBreakdown.md
2018-06-21T04:21:45.523Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\admin\participation.md
2018-06-21T04:21:45.523Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\admin\learningOutcomes.md
2018-06-21T04:21:45.523Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\admin\lectures.md
2018-06-21T04:21:45.523Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\admin\peer-evaluations.md
2018-06-21T04:21:45.523Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\admin\profilePhoto.md
2018-06-21T04:21:45.524Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\admin\preliminaries.md
2018-06-21T04:21:45.524Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\admin\project-assessment.md
2018-06-21T04:21:45.524Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\admin\programming-languages.md
2018-06-21T04:21:45.524Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\admin\project-constraints.md
2018-06-21T04:21:45.524Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\admin\project-deliverables.md
2018-06-21T04:21:45.524Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\admin\project-scope.md
2018-06-21T04:21:45.524Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\admin\project-product.md
